id,name,description,who,snomed,program_area_id,uuid,created_at,updated_at
116,"{""en"":""Emotional Disorders"",""pt"":null}","{""pt"":null}",,,7,1a3d95f4-8c3c-496d-9213-7d2e78be948a,"2022-11-26 12:06:18","2022-11-26 12:06:18"
117,"{""en"":""Drowning"",""pt"":null}","{""pt"":null}",,,11,12f6abb7-0dc0-42eb-b767-1eb22210b43f,"2022-11-26 12:06:44","2022-11-26 12:06:44"
118,"{""en"":""Poisoning"",""pt"":null}","{""pt"":null}",,,11,7b87f4e0-568d-4f84-9ac7-6ff35767965b,"2022-11-26 14:18:03","2022-11-26 14:18:03"
119,"{""en"":""Road traffic Injuries"",""pt"":null}","{""pt"":null}",,,11,5a9e36db-4a3e-4323-98e0-f22e0d3ebd31,"2022-11-26 14:19:50","2023-02-27 10:10:49"
120,"{""en"":""Overweight and Obesity"",""pt"":null}","{""pt"":null}",,,6,b51f8488-159b-4919-bcf4-6e9d68194416,"2022-11-26 14:21:31","2022-11-26 14:21:31"
121,"{""en"":""Maternal haemorrage"",""pt"":null}","{""pt"":null}",,,1,efa0228d-e761-4e64-89a7-e6f82f341900,"2022-11-26 14:25:28","2022-11-26 14:25:28"
122,"{""en"":""Female Genital Mutilation (FGM)"",""pt"":null}","{""pt"":null}",,,1,db39d39b-b48c-44f8-b0d0-ff71b567f5c7,"2022-11-26 14:26:23","2022-11-26 14:26:23"
123,"{""en"":""Gender Based Violence (GBV)"",""pt"":null}","{""pt"":null}",,,1,30e96f8e-afd3-4c02-8871-e3ea88746aa4,"2022-11-26 14:27:29","2022-11-26 14:27:29"
124,"{""en"":""Menopause"",""pt"":null}","{""pt"":null}",,,1,e80b5892-aecf-4a7e-80c7-6f60b0569a4d,"2022-11-26 14:28:24","2023-02-27 16:51:13"
125,"{""en"":""Family planning"",""pt"":null}","{""pt"":null}",,,1,7ff1c551-4322-447e-b733-d470215dfc48,"2022-11-26 14:29:27","2022-11-26 14:29:27"
126,"{""en"":""Scabies and other skin disorders"",""pt"":null}","{""pt"":null}",,,2,53838f60-81cf-48c5-8a32-6f1da4c7a32d,"2022-11-26 14:30:27","2022-11-26 14:30:27"
127,"{""en"":""Oral Conditions"",""pt"":null}","{""pt"":null}",,,9,30194072-0448-48d8-8a16-f9f1e45298a4,"2022-11-26 14:31:58","2022-11-26 14:32:41"
128,"{""en"":""Infertility"",""pt"":null}","{""pt"":null}",,,1,3f30e3c4-998a-400e-86bd-021fd9bca11e,"2022-12-06 18:00:11","2022-12-06 18:00:11"
129,"{""en"":""Headache Disorders"",""pt"":null}","{""pt"":null}",,,7,4b242f5b-03ff-4d68-b82a-00824ea5b17a,"2022-12-06 18:01:03","2022-12-06 18:01:03"
130,"{""en"":""Low back pain"",""pt"":null}","{""pt"":null}",,,6,29b9ad82-de23-4790-9137-d188ebb52d6b,"2022-12-06 18:02:09","2023-02-27 18:48:51"
131,"{""en"":""Prolonged and Obstructed Labor including Obstetric Fistula"",""pt"":null}","{""en"":""Prolonged and Obstructed Labor including Obstetric Fistula"",""pt"":null}",,,1,863a6bc9-4a27-437d-8304-52f0f5816349,"2022-12-06 18:02:56","2023-04-12 12:20:09"
132,"{""en"":""Chronic Liver Disease(Cirrhosis)"",""pt"":null}","{""pt"":null}",,,6,12d4b5ab-1ea5-4912-b7a8-5a641f34addc,"2022-12-06 18:05:09","2023-01-17 13:51:03"
133,"{""en"":""Gastrointestinal diseases including pancreatitis"",""pt"":null}","{""pt"":null}",,,6,80aa4fea-33e6-411a-829b-24a095382402,"2022-12-06 18:35:19","2022-12-06 18:35:19"
134,"{""en"":""Interpersonal Violence"",""pt"":null}","{""pt"":null}",,,7,4652b0ee-4db5-414b-aedd-579f533a1664,"2022-12-07 18:33:16","2022-12-07 18:33:16"
135,"{""en"":""Depression"",""pt"":null}","{""pt"":null}",,,7,48b301e4-961c-4074-9432-953770e529a6,"2022-12-07 19:34:28","2022-12-07 19:34:28"
136,"{""en"":""Anxiety Disorders"",""pt"":null}","{""pt"":null}",,,7,e5ea974b-8a8f-454f-86d9-b213016ee028,"2022-12-07 19:35:02","2022-12-07 19:35:02"
137,"{""en"":""Bipolar Disorders"",""pt"":null}","{""pt"":null}",,,7,c4255480-77b5-4bb1-80fa-13d3a5f49af3,"2022-12-07 19:35:34","2022-12-07 19:35:34"
138,"{""en"":""Psychosis"",""pt"":null}","{""pt"":null}",,,7,dcf7683c-f20b-498e-8bfd-1b5db80fef43,"2022-12-07 19:36:16","2022-12-07 19:36:16"
139,"{""en"":""Prostate Cancer"",""pt"":null}","{""en"":""Prostate cancer is one of the most common cancers in men. If detected early it is amenable to treatment."",""pt"":null}",,,8,e6107f49-1f47-4bab-b1ef-aa763436be65,"2022-12-09 10:55:23","2023-02-28 18:38:28"
140,"{""en"":""Intracerebral Haemorrage"",""pt"":null}","{""en"":""Intracerebral Haemorrage"",""pt"":null}",,,11,fb1f3c79-2f49-4b2b-9abb-cc1767806007,"2023-03-12 13:57:28","2023-03-12 13:57:28"
141,"{""en"":""Chronic Kidney Disease"",""pt"":null}","{""en"":""Chronic Kidney Disease"",""pt"":null}",,,6,317ea1dd-688b-4ba4-a97b-304e57378213,"2023-03-12 15:12:58","2023-03-12 15:12:58"
142,"{""en"":""Age related hearing losd"",""pt"":null}","{""en"":""Age related hearing loss"",""pt"":null}",,,6,1983a042-f3cb-468c-bcb1-e715da7f7a76,"2023-03-12 16:49:06","2023-03-12 16:49:06"
143,"{""en"":""Falls"",""pt"":null}","{""en"":""Falls"",""pt"":null}",,,11,31bf1b93-1d46-4691-8bfa-e6598a310727,"2023-03-13 20:45:11","2023-03-13 20:45:11"
144,"{""en"":""Thyroid Disorders"",""pt"":null}","{""en"":""Thyroid"",""pt"":null}",,,6,045540ce-6c89-4f48-b90a-d40512143c14,"2023-03-15 20:04:31","2023-03-15 20:04:31"
145,"{""en"":""Cataract"",""pt"":null}","{""en"":""Cataract"",""pt"":null}",,,6,14f35d44-638a-4ddf-bf24-17a76a2f297b,"2023-03-15 20:05:25","2023-03-15 20:05:25"
146,"{""en"":""Schizophrenia"",""pt"":null}","{""en"":""Schizophrenia"",""pt"":null}",,,7,09cebdcf-2a5a-49ce-869e-45330fdbe1da,"2023-03-21 18:05:33","2023-03-21 18:05:33"
147,"{""en"":""Acne Vulgaris"",""pt"":null}","{""en"":""Acne Vulgaris"",""pt"":null}",,,6,85dedc77-5299-4829-bd38-50772918762e,"2023-03-24 15:55:29","2023-03-24 15:55:29"
148,"{""en"":""Typhoid Fever"",""pt"":null}","{""en"":""Typhoid"",""pt"":null}",,,4,27141321-d3e4-46ea-b977-dbe3b5b09300,"2023-03-24 19:58:40","2023-03-24 19:58:40"
149,"{""en"":""Premenstrual Syndrome"",""pt"":null}","{""en"":""Premenstrual Syndrome"",""pt"":null}",,,1,56c63b16-fe06-4a1b-99fd-502485b52599,"2023-03-24 20:43:15","2023-03-24 20:43:15"
150,"{""en"":""Invasive non-typhoid Salmonella (iNTS)"",""pt"":null}","{""en"":""Invasive non-typhoid Salmonella (iNTS)"",""pt"":null}",,,4,45942df0-217e-44cd-b0cd-e712a3ca862b,"2023-03-27 14:33:20","2023-03-27 14:33:20"
151,"{""en"":""Persistent depressive disorders (Dysthymia)"",""pt"":null}","{""en"":""Persistent depressive disorders (Dysthymia)"",""pt"":null}",,,7,3c2f6e3b-0cdb-42fc-8182-96c3bf3d2e49,"2023-03-27 15:49:23","2023-03-27 15:49:23"
152,"{""en"":""Viral Skin Diseases"",""pt"":null}","{""en"":""Viral Skin Diseases e.g. Molluscum contagiosum, chickenpox, herpes"",""pt"":null}",,,4,d4c61e03-0f66-408f-b09d-d2eafd33a5e8,"2023-03-30 17:07:01","2023-03-30 17:07:01"
153,"{""en"":""Fungal Skin Diseases"",""pt"":null}","{""en"":""Fungal Skin Diseases"",""pt"":null}",,,4,3bcd4ee8-ca89-41e2-a674-1f631aedc09e,"2023-03-30 19:09:41","2023-03-30 19:09:41"
154,"{""en"":""Atopic Dermatitis"",""pt"":null}","{""en"":""Atopic Dermatitis"",""pt"":null}",,,2,5eae5bbe-3f2a-4520-80e5-dc0eea88c67d,"2023-03-30 19:10:12","2023-03-30 19:10:12"
155,"{""en"":""Acute Respiratory Infections"",""pt"":null}","{""en"":""Acute Respiratory Infections"",""pt"":null}",,,10,47816016-df7c-4a20-b466-f5e37632859f,"2023-03-30 19:11:40","2023-03-30 19:11:40"
